sender,symbol,amount,value
osmo1a944h7gug7r2ad9l2usdm8zmm0mmxak9r0ltvj,OSMO,5.130494,5.73644705231622
osmo16lln26dtpdd0dyp4g76jaqgde5wc5mc8e2cvy3,ATOM,0.595108,5.60583516520307
osmo1jl73mvf0zjv7rwg79s8ng9xdlql8c06mk8z4pd,OSMO,5.0,5.5905406499999994
osmo1dqgam0gwfegzlz37cpdd6plr49dtkus9s5ak9u,LIKE,1897.998667777,4.668769030575392
osmo1ppetwac9lsc20wjn94fvr36kdcuxqkp07nm5x0,REGEN,10.0,3.2060717495837876
osmo175fm40ejc9svlampmjee3ee3wzn6qj55nvl7rv,gUSDC,3.067358,3.091484158561289
osmo1r943fkjkccw85rsnvvvm3q3f2svauvlzczc755,CHEQ,77.485294294,3.061749371446632
osmo1pm20hdsf455uuxkqsyml8x630lte7jhew4uvct,MNTL,32.016632,3.010474794240691
osmo1ghswzufx33u93c0mx9pzey5q22fz9x783wp5dp,LIKE,944.654061195,2.323695848891224
osmo149knvmjayx979n9ugg8uugpnnw34p2hxkrg06x,MARBLE,0.381,2.2463769133567273
osmo1lsjl0d36musly00s4d68yqe0ndszx5x9ldd4l6,SCRT,1.487206,1.9389589134349088
osmo1y6jv9m9937ftxzmg4q5zgywngxf70p7agvav5q,ATOM,0.199232,1.87673792258504
osmo1lytkaq224pneqhqj5em70tkldrz76st8grxa5j,HUAHUA,38811.659758,1.820880731904404
osmo1wu2rp75wqnh82wu3peh9ftqv36e030vj8lfq9d,CRO,9.08,1.615402597952946
osmo1dxh7d7fuvjy43e0557mx6wwe4luyc0s2z0jfec,ATOM,0.141031,1.3284925411585025
osmo19lexqfkg95hn8ffe2qyxl3404vr2t6uvj6xp8q,ATOM,0.1271,1.1972644452726398
osmo1x6tw4glku3akevllsayxu4r4qeu9utcpun8xuc,ATOM,0.106021,0.9987031766502797
osmo1r943fkjkccw85rsnvvvm3q3f2svauvlzczc755,LUM,720.651267,0.9819709582700545
osmo1x6tw4glku3akevllsayxu4r4qeu9utcpun8xuc,HUAHUA,20482.540678,0.9609551329051504
osmo1qx46s5gen6c88yaauh9jfttmfgdxnxxsckx0ce,LUM,406.94875,0.5545148843876255
osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,EVMOS,0.22966853195285403,0.4177783780076382
osmo1r943fkjkccw85rsnvvvm3q3f2svauvlzczc755,LIKE,159.219017626,0.3916529717281366
osmo1nvn4sfc3r2d69c7v0j9v7ak87xepz9q59a6ug0,MNTL,2.602531,0.24471199771200228
osmo1crykcdaxm3u4flnjxq0kmyye7uqy9tcesac6u2,ATOM,0.0047,0.04427335084800478
osmo1dxh7d7fuvjy43e0557mx6wwe4luyc0s2z0jfec,MNTL,0.001909,0.00017950034164135312
